Comment,Designator,Footprint,LCSC Part #,MPN,Manufacturer,Quantity
10uF/25V,C1,C_1210_3225Metric,C77100,GRM32DR71E106KA12L,Murata,1
100nF,"C2,C3,C8,C9",C_0402_1005Metric,C1525,CL05B104KO5NNNC,CCTC,4
22uF,"C4,C5",C_0805_2012Metric,C45783,CL21A226MAQNNNE,CCTC,2
100uF,C6,C_1206_3216Metric,C15008,CL31A107MQHNNNE,Samsung,1
10uF,C7,C_0603_1608Metric,C19702,CL10A106KP8NNNC,CCTC,1
SMF5.0A,D1,D_SOD-123F,C19077497,SMF5.0A,R+O,1
M2 standoff H2.5,H5,SMTSO_M2_H2.5_SMTSOM225BTR,C5301773,SMTSOM225BTR,YIYUAN,1
USB-C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,TYPE-C-31-M-12,HRO,1
M.2 Key-E (GW16170),J2,CONN-SMD_MLD-NGFF-E-4.2H,C52766479,MLD-NGFF-E-4.2H,MLD,1
2.2uH,L1,IND-SMD_L7.2-W6.6_GPSR07X0,C5189746,CYA0630-2.2UH,SHOU HAN,1
5.1k,"R1,R2",R_0402_1005Metric,C25905,0402WGF5101TCE,Uniroyal,2
33.2k,R3,R_0402_1005Metric,C2930001,FRC0402F3322TS,Uniroyal,1
10k,R4,R_0402_1005Metric,C25744,0402WGF1002TCE,Uniroyal,1
USBLC6-2SC6,U1,SOT-23-6,C7519,USBLC6-2SC6,STMicroelectronics,1
TPS563201DDCR,U2,SOT-23-6,C116592,TPS563201DDCR,Texas Instruments,1
