Designator,Mid X,Mid Y,Layer,Rotation
C1,18.2000,-4.3000,Top,-90
C2,16.0000,-4.3000,Top,-90
C3,9.8000,-5.4500,Top,0
C4,30.6000,-3.2000,Top,0
C5,30.6000,-5.4000,Top,0
C6,28.0700,-34.9000,Top,-90
C7,25.7700,-34.4000,Top,-90
C8,27.8000,-30.2500,Top,0
C9,27.8000,-12.7500,Top,0
D1,10.8000,-17.6000,Top,0
H5,51.7500,-21.5000,Top,0
J1,4.7200,-21.5000,Top,270
J2,22.0000,-21.5000,Top,90
L1,24.1500,-4.3000,Top,0
R1,10.3000,-19.8500,Top,0
R2,10.3000,-23.6500,Top,0
R3,9.8000,-2.1500,Top,0
R4,9.8000,-3.3500,Top,180
U1,13.3000,-21.5000,Top,90
U2,12.9000,-4.3000,Top,0
